blockhash,time_sent,peer_id,tcp_window_size,received_size,received_bytes_missing,received_tx_missing,send_size,prefill_size,window_bytes_used,window_bytes_available,rtts_without_prefill
000000000000000000008bfa71f53c796473a4b6046d48b45df5ddf83898944b,2025-07-01 12:39:51,1,14480,24265,0,0,24094,-171,9785,4695,1
0000000000000000000230a2c99d110737e6b59ba5ad8650da77894038fbc9db,2025-07-01 16:10:22,5,14400,19376,0,0,19376,0,4976,9424,1
0000000000000000000230a2c99d110737e6b59ba5ad8650da77894038fbc9db,2025-07-01 16:10:22,2381,14480,19376,0,0,19376,0,4896,9584,1
000000000000000000005125f247757548b05174b87dc4ff3e6cd8b7f35b1e87,2025-07-01 18:38:07,1,14480,20578,0,0,19990,-588,6098,8382,1
0000000000000000000067b7a16800d5f69420180c9e4b5e5cf4b85e77d9ea75,2025-07-01 22:54:35,1,14480,9302,0,0,8152,-1150,9302,5178,0
000000000000000000024f0fd5d6d7200ca6a885f4046555623adc5d20d15ef7,2025-07-03 13:12:18,1,14480,27081,0,0,26451,-630,12601,1879,1
000000000000000000024f0fd5d6d7200ca6a885f4046555623adc5d20d15ef7,2025-07-03 13:12:18,3270,14080,27081,0,0,26451,-630,13001,1079,1
000000000000000000024f0fd5d6d7200ca6a885f4046555623adc5d20d15ef7,2025-07-03 13:12:18,298,7140,27081,0,0,26451,-630,5661,1479,3
000000000000000000012e7adc359c06868132c408cf32fb90b4fe9edb2f8a40,2025-07-04 00:40:47,1,14480,11135,0,0,10917,-218,11135,3345,0
00000000000000000001b0ef4e17039c045631364bac5c08e5ba2cfda5a504a6,2025-07-04 09:34:45,298,5712,16502,0,0,16077,-425,5078,634,2
00000000000000000000d5ea8737e132324a454f5148da687ccdf926f2ba076f,2025-07-04 11:52:56,3958,14600,25005,0,0,25005,0,10405,4195,1
000000000000000000024832ed7996d8b80cfa1167d0f7fa7f192eb3c3335424,2025-07-04 14:44:45,3958,5840,19049,0,0,18587,-462,1529,4311,3
0000000000000000000267e96f800936bc9df4a5792a5361930f000434f64ea3,2025-07-04 16:24:19,3958,10220,15957,0,0,15957,0,5737,4483,1
000000000000000000005a76860c31ef3bc169b7912eff6f5550a4b3d291af7c,2025-07-04 18:57:24,5,7200,7713,0,0,7713,0,513,6687,1
000000000000000000005a76860c31ef3bc169b7912eff6f5550a4b3d291af7c,2025-07-04 18:57:24,3958,10220,7713,0,0,7713,0,7713,2507,0
000000000000000000001f5a69d4cfd84beec464ee6e666e746dcefad99cfc3f,2025-07-04 20:45:42,3958,14600,10341,0,0,10341,0,10341,4259,0
000000000000000000001f5a69d4cfd84beec464ee6e666e746dcefad99cfc3f,2025-07-04 20:45:42,5,7200,10341,0,0,10341,0,3141,4059,1
00000000000000000001cc14a20829cc4a2f2e65f50987165fa6e7de1587b484,2025-07-04 21:02:29,3958,5840,708,0,0,537,-171,708,5132,0
0000000000000000000069d08a62e75864c322c8cf131c546cbce09ab809688c,2025-07-04 21:46:30,3958,5840,4466,0,0,4221,-245,4466,1374,0
00000000000000000002270446863b68a7763c5b169d39961bd4fdaee321dcde,2025-07-04 22:45:47,3958,8760,5355,0,0,5355,0,5355,3405,0
00000000000000000002270446863b68a7763c5b169d39961bd4fdaee321dcde,2025-07-04 22:45:47,1,10136,5355,0,0,5355,0,5355,4781,0
0000000000000000000075a53823665e0ba86f9cb112eae31b10768607fb6c31,2025-07-05 00:08:20,3958,5840,19432,0,0,19215,-217,1912,3928,3
0000000000000000000125bb79c83d1af8158f71459a3e6a1016902e11687145,2025-07-06 13:35:59,1,4344,7568,0,0,7397,-171,3224,1120,1
00000000000000000001af49b00862ccedd0ab7a5214b22846fda40fb1b46d2c,2025-07-06 13:51:09,4076,14600,16743,0,0,16743,0,2143,12457,1
00000000000000000000caf3010a3031c3f4c68efe40448982e14f5ea7c0c06b,2025-07-07 00:58:58,1,7240,4855,0,0,4855,0,4855,2385,0
00000000000000000000a99c712187accc8a5173276624aa2c04b17798fd09e2,2025-07-07 13:06:21,3512,14280,13967,0,0,13745,-222,13967,313,0
00000000000000000001183b499db834ebbd8d2456d85d54f1ae77ca3c0cdba8,2025-07-08 00:00:06,4076,14600,24303,0,0,24053,-250,9703,4897,1
0000000000000000000151f32767fba292ddcf9905d8b2d9f51d40dbc78b833d,2025-07-08 14:30:16,1,4344,24741,0,0,24178,-563,3021,1323,5
00000000000000000001e2353923fb01742cd27f7d4b47ac433beae06e3a28af,2025-07-09 11:31:23,3031,5792,26400,0,0,26181,-219,3232,2560,4
0000000000000000000069333572290e0b59b176899756c3a963a3c1ea2652fe,2025-07-09 20:53:08,3512,14280,16812,0,0,15608,-1204,2532,11748,1
0000000000000000000069333572290e0b59b176899756c3a963a3c1ea2652fe,2025-07-09 20:53:08,581,4344,16812,0,0,15608,-1204,3780,564,3
0000000000000000000069333572290e0b59b176899756c3a963a3c1ea2652fe,2025-07-09 20:53:08,3967,7140,16812,0,0,15608,-1204,2532,4608,2
0000000000000000000069333572290e0b59b176899756c3a963a3c1ea2652fe,2025-07-09 20:53:08,5,11520,16812,0,0,15608,-1204,5292,6228,1
0000000000000000000069333572290e0b59b176899756c3a963a3c1ea2652fe,2025-07-09 20:53:08,3380,9996,16812,0,0,15608,-1204,6816,3180,1
0000000000000000000197da80bda52ddcc8538bceccf63f71b06cae0a81ed60,2025-07-11 02:56:01,1,4344,21996,0,0,19990,-2006,276,4068,5
